,PLAYER_NAME,TEAM_ABBREVIATION,NPTwAO/G,PGen/G,IOEwAO,Eff_Factor,Pos_Weight,Score
190,Iman Shumpert,BKN,7.47,7.18974358974359,0.9934807256235828,0.9136902009204456,0.5684844297802769,3.4473804541217077
191,Isaac Bonga,WAS,7.23,8.795110192837466,1.2472653045278743,1.1470922961085805,0.556673704507757,6.74112857873906
192,Isaiah Hartenstein,HOU,4.19,6.625603864734299,1.5821105574012548,1.4550447490191316,0.37588336530430655,5.888069251397221
193,Isaiah Thomas,WAS,20.84,22.446706586826352,1.1051502430617075,1.016391079954296,0.9041253757320149,21.356404552769934
194,Ish Smith,WAS,22.6,25.224761526232115,1.1428825083178644,1.0510929117401537,0.9213487696312086,27.407823953968496
195,Ivica Zubac,LAC,6.42,11.489179586563306,1.8060015069263784,1.660954095199429,0.5143737122520555,29.67359409618226
196,J.J. Barea,DAL,16.06,18.250783699059557,1.1589575354136972,1.06587688727,0.8358401889454407,18.471155630767385
197,JJ Redick,NOP,17.41,21.18004694835681,1.2441774201110325,1.144252412394206,0.8589729730886019,28.26015726971609
198,JR Smith,LAL,5.81,4.333333333333333,0.7674144037780403,0.7057801955212459,0.4798742366340908,1.3507776271029732
199,Ja Morant,MEM,33.26,38.21594275811951,1.173170539007206,1.0789483860661997,0.9762955252092106,49.74409479290539
200,JaKarr Sampson,IND,4.41,6.03641456582633,1.369349447812218,1.2593713595364664,0.3911420391970918,3.7637890970252563
201,JaMychal Green,LAC,7.32,9.433962264150944,1.3001829336749855,1.195759892731866,0.5611401412836186,8.21431761273942
202,JaVale McGee,LAL,5.43,8.123027259684362,1.5129994895873138,1.391484275415468,0.4571546156880918,8.43181902891359
203,Jabari Parker,SAC,15.54,18.99217638691323,1.2344394887498336,1.1352965743668717,0.8259494543642099,23.3622672351492
204,Jacob Evans,MIN,8.16,7.470643056849951,0.9388483647454008,0.863445589726592,0.6007165720542658,3.4100968598727914
205,Jae Crowder,MIA,14.28,17.196542783059638,1.226976159054749,1.1284326553871078,0.7994409566312989,19.81064088234339
206,Jahlil Okafor,NOP,8.74,11.591452991452991,1.336036536589787,1.228733945278668,0.6259402454015517,12.70794157054152
207,Jake Layman,MIN,10.48,11.195652173913043,1.0725591469510165,0.9864175088667402,0.6924469188741096,7.502174824657583
208,Jakob Poeltl,SAS,6.53,10.122895622895623,1.5875656095216972,1.4600616834592335,0.5203468475596165,15.27917434217056
209,Jalen Brunson,DAL,14.88,18.028834462393604,1.2321865280053184,1.1332245581694464,0.8125330572401317,21.534481798731765
210,Jalen Lecque,PHX,2.98,3.2,1.075268817204301,0.9889095543531765,0.28486260359311544,0.8998768497398623
211,Jalen McDaniels,CHA,6.47,8.234375,1.3112062101910829,1.2058978445562185,0.5170979396136606,6.572488335073896
212,Jamal Crawford,BKN,9.0,12.0,1.3333333333333333,1.2262478473979388,0.6367239959051982,13.405866713016124
213,Jamal Murray,DEN,28.21,32.839481555334004,1.1796939915761726,1.084947913318923,0.9581605078362039,42.33009661398175
214,James Ennis III,ORL,7.36,9.184625078764963,1.262126843055012,1.1607602433295237,0.5631107532493758,7.387155549332356
215,James Harden,HOU,47.5,56.20922340313585,1.2008253821593584,1.1043821549802904,0.9952244093828356,85.187778064297
216,James Johnson,MIN,13.5,15.501488095238097,1.1751341302179923,1.0807542731877466,0.7810448988265977,15.106961742924026
217,Jared Dudley,LAL,2.58,3.2172043010752684,1.2825495530509134,1.1795427214574035,0.2519432879561214,0.9997594770082215
218,Jaren Jackson Jr.,MEM,18.26,21.41527599486521,1.177299035248753,1.08274530578809,0.8718350858639693,24.058533766074923
219,Jarred Vanderbilt,MIN,1.35,1.3636363636363635,1.0080645161290325,0.9271027072061032,0.140916244935692,0.18786266301983984
220,Jarrell Brantley,UTA,5.65,6.0606060606060606,1.0720411663807892,0.9859411294473138,0.47042633483952534,2.7797541658280185
221,Jarrett Allen,BKN,9.21,15.802197802197805,1.7343271341389876,1.5950361861913276,0.6452065704920882,52.686161757207536
222,Jarrett Culver,MIN,14.63,14.69722814498934,1.03169471535224,0.9488350679043852,0.8071852099668845,10.339204127302052
223,Jarrod Uthoff,WAS,3.13,2.8571428571428568,0.9578544061302684,0.8809251777284046,0.29683037701701287,0.748428441015169
224,Javonte Green,BOS,4.03,4.843390804597702,1.2205100725571696,1.1224858869005485,0.3645465058593893,2.1420203801144724
225,Jaxson Hayes,NOP,6.48,10.196428571428571,1.6010093929622875,1.4724257413379145,0.5176409484774863,15.808604627832128
226,Jaylen Brown,BOS,23.1,26.22456140350877,1.1455108359133126,1.053510147532285,0.9256511548550737,28.911516187604022
227,Jaylen Hoard,POR,3.06,3.978021978021978,1.4083411142234672,1.2952314447889062,0.2912705458417949,1.7418243411208632
228,Jaylen Nowell,MIN,5.5,6.7333333333333325,1.2245392822502423,1.1261914941851827,0.4614131217700852,3.9521703107602484
229,Jayson Tatum,BOS,28.15,32.21043771043771,1.1542953808879135,1.061589169556391,0.9578771100145611,38.21049657143597
230,Jeff Green,HOU,10.31,12.573863636363635,1.2316248766334472,1.1327080153301377,0.6865078126356066,12.078765373668956
231,Jeff Teague,ATL,22.57,25.94178334561533,1.1821957683684805,1.087248762123601,0.9210828489767025,31.74448298449989
232,Jerami Grant,DEN,12.5,15.526881720430108,1.2495563589845595,1.1491993465554167,0.7549709053722051,17.649136055026222
233,Jeremiah Martin,BKN,10.68,14.128654970760234,1.3362536227074624,1.2289335963170425,0.6992902118296189,18.115694393070488
234,Jeremy Lamb,IND,16.1,18.37950310559006,1.1559435915465448,1.0631050056355447,0.8365773155737606,18.476752422319635
235,Jeremy Pargo,GSW,13.48,15.666666666666664,1.191683569979716,1.0959745593503383,0.7805516501469073,15.92449256258403
236,Jerian Grant,WAS,8.51,8.5,1.0183706070287541,0.9365810735417566,0.6161342364326717,4.572476866284552
237,Jerome Robinson,WAS,8.76,9.032066698733367,1.0535850281813846,0.9689672796435898,0.626781010347857,5.28740151651605
